method name,file name,category,type,RMSE,RMSE_lower_bound,RMSE_upper_bound,MAE,MAE_lower_bound,MAE_upper_bound,ME,ME_lower_bound,ME_upper_bound,R2,R2_lower_bound,R2_upper_bound,m,m_lower_bound,m_upper_bound,kendall_tau,kendall_tau_lower_bound,kendall_tau_upper_bound,ES,ES_lower_bound,ES_upper_bound
logP_experimental + EC_RISM,logD-logP_experimental-EC_RISM,Experimental logP + QM pKa,Standard,0.3328321990542273,0.1178404159716166,0.4824228624161776,0.15136363636363634,0.04181818181818182,0.2836363636363637,0.05590909090909091,-0.07636363636363637,0.19954545454545453,0.9100827486012406,0.7825184165636128,0.9850582076274104,1.0255890671828423,0.873810774505985,1.1753498760636119,0.9110650501976791,0.7671312851617348,0.990990990990991,1.4483436466076942,0.765411077425696,1.1792294807370187
logP_experimental + pKa_experimental,experimental_pKa_and_logP_combined,Experimental logP + Experimental pKa,Standard,0.4049522979763958,0.04028308916564458,0.6182048792490016,0.15409090909090908,0.015454545454545455,0.3272727272727272,0.15045454545454545,0.01136363636363636,0.32409090909090915,0.9357117944599204,0.8691785258022435,0.9983960991484003,1.197112408686458,1.021784511599545,1.3598365116305997,0.974025974025974,0.9074074074074073,1.0,1.1223749602004516,0.5692373714301536,1.0653127898445396
TFE MLR + EC_RISM,TFE_MLR-EC_RISM,Empirical logP + QM pKa,Standard,0.6378230019513108,0.38635828873304545,0.8827539552188624,0.45909090909090916,0.2936363636363637,0.6577272727272727,0.016363636363636365,-0.26,0.2822727272727273,0.657744061147201,0.3319500238223894,0.8818524739397252,0.8438964940577454,0.6205214630867381,1.023161292947657,0.6681143701449648,0.40092052326118255,0.8648648648648649,1.3863394105513798,1.2847571189279734,1.459362930354251
TFE MLR + pKa_experimental,logD-TFE_MLR-pKa_experimental,Empirical logP + Experimental pKa,Standard,0.6795921236634916,0.3623471464568951,0.9542631617212213,0.4736363636363637,0.2913636363636364,0.6945454545454545,0.1109090909090909,-0.17681818181818187,0.3859090909090909,0.7025860144062775,0.39834822021046673,0.9172925339578911,1.0154198355613615,0.7347818812862082,1.230697903180309,0.7028216101524953,0.43636363636363634,0.8990825688073395,1.3395074546285146,1.1961460193529632,1.439539294267481
logP_experimental + DFT_M05-2X_SMD,logD-logP_experimental-DFT_M05_2X_SMD,Experimental logP + QM pKa,Standard,0.7566853555294482,0.49639610283431,0.9699695402902656,0.4645454545454545,0.22636363636363635,0.7222727272727273,-0.1981818181818182,-0.4995454545454546,0.11772727272727272,0.5132128380267931,0.18668060248844645,0.8258619347345122,0.6399137423719727,0.4047360618176918,0.8605529468772984,0.5930735930735931,0.2962962962962963,0.8433179723502304,0.9252183783933443,0.45365948198291745,1.0067416974680565
REF0 ChemAxon,logD-REF0-ChemAxon-Bergazin,Empirical (ref),Reference,1.055933451759842,0.8311711343312247,1.2651464162481172,0.9104545454545456,0.6950000000000001,1.1386363636363637,0.285,-0.150909090909091,0.7090909090909091,0.26674767037924135,0.011541563379341993,0.575045697474495,0.535610976813044,0.088438238908957,0.909666795501415,0.30735930735930733,-0.022624434389140267,0.6,0.12324708944169888,-0.0,0.2968838683777012
TFE IEFPCM MST + IEFPCM/MST,logD-TFE_IEFPCM_MST-IEFPCM_MST,QM logP + QM pKa,Standard,1.2715702533053015,0.8482629309359215,1.6418254807046053,0.9818181818181817,0.6695454545454547,1.3395454545454546,0.2427272727272727,-0.29636363636363633,0.7463636363636362,0.5463858543100745,0.17807815357429327,0.8695046830326694,1.3073698729337788,0.7298428999960644,1.7088254411977122,0.567099567099567,0.2767857142857143,0.817351598173516,1.1577031161316225,0.8861940556778384,1.2494566496393817
NES-1 (GAFF2/OPC3) B + pKa_experimental,logD-NES_1_GAFF2_OPC3_B-pKa_experimental,MM logP + Experimental pKa,Standard,1.2744125206255912,0.9594269122762816,1.558517652363063,1.0481818181818183,0.7468181818181819,1.349090909090909,-0.35636363636363644,-0.853181818181818,0.14818181818181816,0.510630921468572,0.1544432762034976,0.7740626612569659,1.2126016903091037,0.5904899921137231,1.6361621563236846,0.46854774010166356,0.1493212669683258,0.747714288761701,1.2062931738582723,1.086714564558329,1.3162783615044924
NULL0,logD-NULL0-Bergazin,Empirical (ref),Reference,1.5909545448052134,1.212255598610968,1.9231886401116622,1.3509090909090908,1.0081818181818183,1.7131818181818181,1.2254545454545451,0.8013636363636365,1.6518181818181816,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.6478951229979097,0.42976590943699217,0.8494677242964134
EC_RISM_wet + EC_RISM,logD-EC_RISM_wet-EC_RISM,QM logP + QM pKa,Standard,1.6920267567194514,1.3005156320055937,2.055711555641987,1.4318181818181817,1.0654545454545454,1.8131818181818182,-1.4318181818181817,-1.8127272727272727,-1.0654545454545452,0.534429811315914,0.21255298193624175,0.7803181770858493,0.9505925394859067,0.5545384590880674,1.2988771957323753,0.500004725964924,0.20814692725366699,0.7327188940092167,0.8359704860390108,0.6339410551379489,1.0292232512424384
