ID,Sensitivity,Sensitivity_lower_bound,Sensitivity_upper_bound,Specificity,Specificity_lower_bound,Specificity_upper_bound,Precision,Precision_lower_bound,Precision_upper_bound,Balanced Accuracy,Balanced Accuracy_lower_bound,Balanced Accuracy_upper_bound,Accuracy,Accuracy_lower_bound,Accuracy_upper_bound,True Positive,True Positive_lower_bound,True Positive_upper_bound,False Negative,False Negative_lower_bound,False Negative_upper_bound,True Negative,True Negative_lower_bound,True Negative_upper_bound,False Positive,False Positive_lower_bound,False Positive_upper_bound
38,1.0,1.0,1.0,0.05452127659574468,0.0388739946380697,0.07142857142857142,0.06200527704485488,0.0457516339869281,0.0796812749003984,0.5272606382978724,0.5194369973190348,0.5357142857142857,0.11013767209011265,0.08886107634543179,0.13266583229036297,47,35.0,60.0,0,0.0,0.0,41,29.0,54.0,711,693.0,728.0
55,0.10638297872340426,0.023255813953488372,0.2,0.8882978723404256,0.8653333333333333,0.910427807486631,0.056179775280898875,0.011764705882352941,0.10752688172043011,0.49734042553191493,0.45476827094474154,0.5459815546772069,0.8423028785982478,0.8160200250312891,0.8660826032540676,5,1.0,10.0,42,30.0,55.0,668,647.0,688.0,84,67.0,101.0
33,0.0851063829787234,0.019230769230769232,0.17391304347826086,0.9082446808510638,0.8872679045092838,0.9281914893617021,0.0547945205479452,0.0125,0.11267605633802817,0.4966755319148936,0.45965608465608465,0.5428538708199725,0.8598247809762203,0.8360450563204005,0.8836045056320401,4,1.0,8.0,43,31.0,56.0,683,664.0,702.0,69,54.0,85.0
56,0.0851063829787234,0.018518518518518517,0.17073170731707318,0.9202127659574468,0.900523560209424,0.9391534391534392,0.0625,0.0136986301369863,0.12727272727272726,0.5026595744680851,0.4650326797385621,0.5470951234196267,0.8710888610763454,0.8473091364205256,0.8936170212765957,4,1.0,8.0,43,31.0,56.0,692,672.0,711.0,60,46.0,75.0
52,0.06382978723404255,0.0,0.14285714285714285,0.9507978723404256,0.9349269588313412,0.9654714475431607,0.075,0.0,0.16666666666666666,0.507313829787234,0.4754316069057105,0.5472273710225517,0.8986232790988736,0.8773466833541927,0.918648310387985,3,0.0,7.0,44,32.0,57.0,715,698.0,731.0,37,26.0,49.0
35,0.02127659574468085,0.0,0.07317073170731707,0.9547872340425532,0.9395973154362416,0.9691689008042895,0.02857142857142857,0.0,0.0967741935483871,0.488031914893617,0.47167325428194995,0.5150424510889627,0.899874843554443,0.8785982478097623,0.9198998748435544,1,0.0,3.0,46,33.0,59.0,718,701.0,734.0,34,23.0,46.0
37,0.0,0.0,0.0,0.9853723404255319,0.976158940397351,0.9933598937583001,0.0,0.0,0.0,0.49268617021276595,0.4880794701986755,0.49667994687915007,0.9274092615769712,0.9086357947434293,0.9449311639549437,0,0.0,0.0,47,34.0,61.0,741,726.0,755.0,11,5.0,18.0
43,0.0,0.0,0.0,0.9853723404255319,0.9760956175298805,0.9933598937583001,0.0,0.0,0.0,0.49268617021276595,0.48804780876494025,0.49667994687915007,0.9274092615769712,0.9086357947434293,0.9449311639549437,0,0.0,0.0,47,34.0,60.0,741,726.0,755.0,11,5.0,18.0
44,0.0,0.0,0.0,0.961436170212766,0.9472295514511874,0.9746328437917223,0.0,0.0,0.0,0.480718085106383,0.4736147757255937,0.48731642189586116,0.904881101376721,0.8848560700876095,0.9236545682102628,0,0.0,0.0,47,34.0,60.0,723,707.0,738.0,29,19.0,40.0
