ID,Sensitivity,Sensitivity_lower_bound,Sensitivity_upper_bound,Specificity,Specificity_lower_bound,Specificity_upper_bound,Precision,Precision_lower_bound,Precision_upper_bound,Balanced Accuracy,Balanced Accuracy_lower_bound,Balanced Accuracy_upper_bound,Accuracy,Accuracy_lower_bound,Accuracy_upper_bound,True Positive,True Positive_lower_bound,True Positive_upper_bound,False Negative,False Negative_lower_bound,False Negative_upper_bound,True Negative,True Negative_lower_bound,True Negative_upper_bound,False Positive,False Positive_lower_bound,False Positive_upper_bound
38,0.42857142857142855,0.0,0.8333333333333334,0.2563131313131313,0.22617534942820838,0.2873417721518987,0.005067567567567568,0.0,0.011647254575707155,0.34244227994227994,0.1286072772898369,0.5473551637279597,0.25782227784730916,0.22778473091364204,0.2878598247809762,3,0.0,7.0,4,1.0,8.0,203,179.0,228.0,589,564.0,613.0
33,0.0,0.0,0.0,0.9053030303030303,0.8845177664974619,0.9257861635220126,0.0,0.0,0.0,0.45265151515151514,0.44225888324873097,0.4628930817610063,0.8973717146433041,0.8760951188986232,0.918648310387985,0,0.0,0.0,7,2.0,13.0,717,700.0,734.0,75,59.0,91.0
35,0.0,0.0,0.0,0.9608585858585859,0.9468354430379747,0.9735516372795969,0.0,0.0,0.0,0.48042929292929293,0.47341772151898737,0.4867924528301887,0.9524405506883604,0.9374217772215269,0.9662077596996246,0,0.0,0.0,7,2.0,13.0,761,749.0,772.0,31,21.0,42.0
37,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.9912390488110138,0.983729662077597,0.9974968710888611,0,0.0,0.0,7,2.0,13.0,792,786.0,797.0,0,0.0,0.0
43,0.0,0.0,0.0,0.9911616161616161,0.9836477987421384,0.9974651457541192,0.0,0.0,0.0,0.49558080808080807,0.4918238993710692,0.4987325728770596,0.9824780976220275,0.9724655819774718,0.9912390488110138,0,0.0,0.0,7,3.0,13.0,785,777.0,792.0,7,2.0,13.0
44,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.9912390488110138,0.983729662077597,0.9974968710888611,0,0.0,0.0,7,2.0,13.0,792,786.0,797.0,0,0.0,0.0
52,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.9912390488110138,0.983729662077597,0.9974968710888611,0,0.0,0.0,7,2.0,13.0,792,786.0,797.0,0,0.0,0.0
55,0.0,0.0,0.0,0.9911616161616161,0.9836683417085427,0.9974651457541192,0.0,0.0,0.0,0.49558080808080807,0.49183417085427134,0.49873417721518987,0.9824780976220275,0.9724655819774718,0.9912390488110138,0,0.0,0.0,7,2.0,13.0,785,777.0,792.0,7,2.0,13.0
56,0.0,0.0,0.0,0.98989898989899,0.9823232323232324,0.9962121212121212,0.0,0.0,0.0,0.494949494949495,0.4911616161616162,0.49810844892812106,0.981226533166458,0.9712140175219024,0.9899874843554443,0,0.0,0.0,7,2.0,13.0,784,776.0,791.0,8,3.0,14.0
