ID,sid,RMSE,RMSE_lower_bound,RMSE_upper_bound,MAE,MAE_lower_bound,MAE_upper_bound,ME,ME_lower_bound,ME_upper_bound,R2,R2_lower_bound,R2_upper_bound,m,m_lower_bound,m_upper_bound,kendall_tau,kendall_tau_lower_bound,kendall_tau_upper_bound
RESP/GAFF/MMPBSA-Cor,20,,0.8971027002989812,,,0.7076947489921297,,,0.14665033081944934,,,0.22081150265681643,,,0.2368540671753997,,,0.1764705882352941,
AMOEBA/DDM/BAR,29,,0.8039668469429869,,,0.6328908109785729,,,-1.5800743993596296,,,0.5039907363666349,,,0.6620466176492382,,,0.3043478260869566,
B2PLYPD3/SMD,23,,3.2137688436106076,,,2.434783257287627,,,1.6770250312693642,,,0.45716169754893793,,,1.2746584486587522,,,0.23809523809523814,
xtb-GNF/Machine Learning/CORINA MD,28,,1.7817863875083775,,,1.4234911677925313,,,-0.6040834563775659,,,0.0021261956606894207,,,-0.5028742958941199,,,-0.5000000000000001,
