ID,Sensitivity,Sensitivity_lower_bound,Sensitivity_upper_bound,Specificity,Specificity_lower_bound,Specificity_upper_bound,Precision,Precision_lower_bound,Precision_upper_bound,Balanced Accuracy,Balanced Accuracy_lower_bound,Balanced Accuracy_upper_bound,Accuracy,Accuracy_lower_bound,Accuracy_upper_bound,True Positive,True Positive_lower_bound,True Positive_upper_bound,False Negative,False Negative_lower_bound,False Negative_upper_bound,True Negative,True Negative_lower_bound,True Negative_upper_bound,False Positive,False Positive_lower_bound,False Positive_upper_bound
38,1.0,1.0,1.0,0.0014044943820224719,0.0,0.004267425320056899,0.06200527704485488,0.04497354497354497,0.07926023778071334,0.5007022471910112,0.5,0.5021337126600285,0.06324110671936758,0.0461133069828722,0.08168642951251646,47,34.0,60.0,0,0.0,0.0,1,0.0,3.0,711,697.0,724.0
55,0.10638297872340426,0.023809523809523808,0.2,0.8820224719101124,0.8587412587412587,0.9050279329608939,0.056179775280898875,0.011904761904761904,0.10714285714285714,0.49420272531675835,0.4521936681649404,0.5431986488242172,0.83399209486166,0.8076416337285902,0.8603425559947299,5,1.0,10.0,42,30.0,55.0,628,608.0,648.0,84,68.0,101.0
33,0.0851063829787234,0.019230769230769232,0.175,0.9030898876404494,0.8809523809523809,0.9242636746143057,0.0547945205479452,0.012345679012345678,0.11267605633802817,0.4940981353095864,0.4564603092113811,0.5411764705882353,0.852437417654809,0.8260869565217391,0.8774703557312253,4,1.0,8.0,43,31.0,56.0,643,623.0,662.0,69,54.0,85.0
56,0.0851063829787234,0.019230769230769232,0.17391304347826086,0.9157303370786517,0.8942857142857142,0.9354375896700143,0.0625,0.014084507042253521,0.12857142857142856,0.5004183600286876,0.4631118881118881,0.5459889349930844,0.8642951251646904,0.839262187088274,0.8880105401844532,4,1.0,8.0,43,31.0,56.0,652,633.0,670.0,60,46.0,75.0
52,0.06382978723404255,0.0,0.14035087719298245,0.9480337078651685,0.9316596931659693,0.9633286318758815,0.075,0.0,0.16666666666666666,0.5059317475496056,0.4745762711864407,0.5454994922229943,0.8932806324110671,0.8708827404479579,0.9143610013175231,3,0.0,7.0,44,32.0,57.0,675,658.0,692.0,37,26.0,49.0
35,0.02127659574468085,0.0,0.07317073170731707,0.952247191011236,0.9361702127659575,0.9674681753889675,0.02857142857142857,0.0,0.0967741935483871,0.48676189337795844,0.4700139470013947,0.5132356762374951,0.8945981554677207,0.8722002635046113,0.9156785243741765,1,0.0,3.0,46,34.0,60.0,678,661.0,694.0,34,23.0,45.0
37,0.0,0.0,0.0,0.9845505617977528,0.9748603351955307,0.9929676511954993,0.0,0.0,0.0,0.4922752808988764,0.48743016759776536,0.4964838255977497,0.9235836627140975,0.9038208168642952,0.9420289855072463,0,0.0,0.0,47,35.0,60.0,701,686.0,715.0,11,5.0,18.0
43,0.0,0.0,0.0,0.9845505617977528,0.9747545582047685,0.9929873772791024,0.0,0.0,0.0,0.4922752808988764,0.48737727910238426,0.4964936886395512,0.9235836627140975,0.9038208168642952,0.9420289855072463,0,0.0,0.0,47,34.0,61.0,701,686.0,715.0,11,5.0,18.0
44,0.0,0.0,0.0,0.9592696629213483,0.9443651925820257,0.9732770745428974,0.0,0.0,0.0,0.47963483146067415,0.47218259629101283,0.4866385372714487,0.8998682476943346,0.8787878787878788,0.9209486166007905,0,0.0,0.0,47,34.0,60.0,683,667.0,699.0,29,19.0,40.0
