ID,sid,RMSE,RMSE_lower_bound,RMSE_upper_bound,MAE,MAE_lower_bound,MAE_upper_bound,ME,ME_lower_bound,ME_upper_bound,R2,R2_lower_bound,R2_upper_bound,m,m_lower_bound,m_upper_bound,kendall_tau,kendall_tau_lower_bound,kendall_tau_upper_bound
AMOEBA/DDM/BAR,29,0.8184970983454981,0.5331153813022523,2.112587334103697,0.68125,0.428541085194857,1.8479122107282668,0.008749999999999925,-1.0942731155587806,1.1596433480879016,0.7836899408914194,0.06772927438735818,0.9767715304948321,1.1549035534480736,0.27433862195278486,2.068398903482527,0.6910233190806425,-0.08164965809277261,1.0
xtb-GNF/Machine Learning/CORINA MD,28,0.8503822669835019,0.47816421638570994,2.051041786168774,0.5375000000000001,0.3791006519499629,1.7423177443206845,-0.135,-1.162661766567906,0.8951484006130596,0.6376479886026335,0.013628439753226905,0.9722793122083792,0.8167735042735041,-0.03153649310562596,1.8741213787610524,0.7637626158259734,-0.1818181818181818,1.0
RESP/GAFF/MMPBSA-Cor,20,1.549237715781539,0.8536223108593215,2.8160688154810503,1.27875,0.6743001583938348,2.498628334313191,1.02625,-0.20370130195259373,2.2639814611679787,0.26294047099276974,0.0006634087484883896,0.9044238798684332,0.37926252780704844,-0.6037619693171352,1.2377667114176563,0.32732683535398854,-0.5604485383178051,0.9574271077563382
B2PLYPD3/SMD,23,2.988264546521944,1.3970350355705574,4.59400077811725,2.2225,1.0187476946055776,3.973926510367134,0.39250000000000007,-1.8724635535248653,2.619016685249235,0.09344542222744567,0.0007114245693353402,0.7982723474635847,0.7222149045779186,-1.1632010394496524,2.885768062451951,0.0769800358919501,-0.6799999999999999,0.7391304347826089
