ID,sid,RMSE,RMSE_lower_bound,RMSE_upper_bound,MAE,MAE_lower_bound,MAE_upper_bound,ME,ME_lower_bound,ME_upper_bound,R2,R2_lower_bound,R2_upper_bound,m,m_lower_bound,m_upper_bound,kendall_tau,kendall_tau_lower_bound,kendall_tau_upper_bound
RESP/GAFF/MMPBSA-Cor,20,1.2412627978527886,0.7582348301314119,2.464527514501,0.9533333333333331,0.5861218467332763,2.151683018314834,0.9377777777777775,-0.12918206902738966,1.9927575652147371,0.9424527221058165,0.10821908158842761,0.9696864371933899,0.6525768028856028,0.18005060892478497,1.1420077138043139,0.8333333333333334,0.03225806451612904,1.0
AMOEBA/DDM/BAR,29,1.2466265590696268,0.676477102116572,2.528456619509949,0.9166666666666666,0.5356538946107559,2.1220874011885007,-0.35888888888888903,-1.5384955599019017,0.8286025943867421,0.8013307051300843,0.3398041353334662,0.970852982173026,1.1082038107706171,0.5663078695690783,1.9678056208303256,0.7222222222222222,0.1764705882352941,1.0
xtb-GNF/Machine Learning/CORINA MD,28,2.259318973102785,1.3905682031070365,3.443229906386571,1.905555555555556,1.0962439399791333,3.1180709188755475,0.37444444444444425,-1.306318623095894,2.0630029046054066,0.00838420569410979,0.00028299005957445854,0.7815398863927425,0.03870914732843453,-0.582453107427764,0.5387650631398727,0.05555555555555555,-0.6363636363636364,0.806451612903226
B2PLYPD3/SMD_QZ-R,23,4.524617847583005,2.5163876038160575,6.385927723476804,3.6966666666666663,1.9575023229355526,5.672447320054021,3.1500000000000004,0.8359918016673478,5.444251415712877,0.4861543735417373,0.02979615613326829,0.9303275904303219,1.428477526751259,-0.11174217903496778,2.9839977661878256,0.36623351038235713,-0.31249999999999994,0.8749999999999999
