ID,sid,RMSE,RMSE_lower_bound,RMSE_upper_bound,MAE,MAE_lower_bound,MAE_upper_bound,ME,ME_lower_bound,ME_upper_bound,R2,R2_lower_bound,R2_upper_bound,m,m_lower_bound,m_upper_bound,kendall_tau,kendall_tau_lower_bound,kendall_tau_upper_bound
RESP/GAFF/MMPBSA-Cor,20,0.8943433345198026,0.09061225858783217,2.726450361519884,0.6849999999999996,0.08962784099995069,2.6800168940573545,0.6849999999999996,-1.2767253966174552,2.6567208608223787,1.0,0.0,1.0,0.47247706422018326,-0.5557203385848736,,1.0,-1.0,
AMOEBA/DDM/BAR,29,1.1720068259186889,0.0904270228177495,3.0322922619209263,0.94,0.09009648695807382,2.9774060498025925,0.6999999999999997,-1.511429301978838,2.940335873090717,1.0,0.0,1.0,0.1376146788990825,-0.9224373237079432,,1.0,-1.0,
xtb-GNF/Machine Learning/CORINA MD,28,1.517316710512344,0.10672352277576014,3.3327850796058596,1.1950000000000003,0.10417760330682313,3.298435860952911,-1.1950000000000003,-3.2876829872454163,0.935715545606425,1.0,0.0,1.0,0.14220183486238555,-0.8445548881093572,,1.0,-1.0,
Docking/GAFF/YANK_REF,REF4,1.853443551878503,0.5203410659574157,3.1576919213779178,1.6980000000000004,0.5203410659574157,3.1576919213779178,1.6980000000000004,0.5203410659574157,3.1576919213779178,1.0,0.0,1.0,0.3183486238532106,-0.18215701307794507,,1.0,-1.0,
AMOEBA/DDM/BAR_2,30,3.011444835954994,0.13305500868313835,5.514102059626769,2.3200000000000003,0.13305500868313835,5.513656999021037,-2.3200000000000003,-5.507479218028529,0.8664442620239052,1.0,0.0,1.0,-0.761467889908257,-1.7924174309788432,,-1.0,-1.0,
B2PLYPD3/SMD_QZ-NR,24,3.5642250209547655,0.23359411687264853,6.2419753135895135,2.9899999999999998,0.23359411687264853,6.2419753135895135,1.94,-2.33253910753007,6.2419753135895135,1.0,0.0,1.0,-1.743119266055046,-2.8098657827560083,,-1.0,-1.0,
B2PLYPD3/SMD_QZ-R,23,3.5642250209547655,0.20787535901896348,6.215763316171323,2.9899999999999998,0.20787535901896348,6.2141221310982395,1.94,-2.324215747284681,6.2141221310982395,1.0,0.0,1.0,-1.743119266055046,-2.794744174718419,,-1.0,-1.0,
AMOEBA/DDM/BAR_3,31,3.720120965775172,2.037362018906105,5.495298112122224,3.7199999999999998,2.0218271364925346,5.476353762041839,3.7199999999999998,2.0218271364925346,5.476353762041839,1.0,0.0,1.0,1.0275229357798166,-0.04684192432403365,,1.0,-1.0,
RESP/GAFF/MMPBSA/Nmode,18,3.9165801408882213,2.1171930516761464,5.655686402717934,3.9,2.093930149629382,5.640253000263722,-3.9,-5.635563786636914,-2.088770280965054,1.0,0.0,1.0,1.3302752293577984,0.2384435926258708,,1.0,1.0,
B2PLYPD3/SMD_TZ,22,3.9232257136188324,0.1274809592552355,6.872570544546532,2.9899999999999998,0.1274809592552355,6.872570544546532,2.5399999999999996,-1.686797104545108,6.872570544546532,1.0,0.0,1.0,-1.743119266055046,-2.807061851562538,,-1.0,-1.0,
FSDAM/GAFF2/OPC3,14,5.801180914262199,0.629044471749288,12.902947929645974,5.76,0.6246993208953846,12.78482129829123,-5.76,-12.778436579152391,1.1510494130241193,1.0,0.0,1.0,0.3669724770642202,-3.8648679500025502,,1.0,-1.0,
B2PLYPD3/SMD_DZ,21,7.075429315596334,1.753445281529288,10.799455123217953,6.29,1.753445281529288,10.799455123217953,6.29,1.753445281529288,10.799455123217953,1.0,0.0,1.0,-1.9724770642201834,-3.0254998975107523,,-1.0,-1.0,
RESP/GAFF/MMPBSA,19,9.570256004935292,7.86075243622904,11.283321889862128,9.57,7.85252606844548,11.27377793714388,9.57,7.85252606844548,11.27377793714388,1.0,0.0,1.0,1.0642201834862388,-0.020554436986669325,,1.0,-1.0,
AM1-BCC/GAFF/MMPBSA,17,13.66161410668593,11.901189517496256,15.412253255640376,13.66,11.896972596130848,15.407560515214998,13.66,11.896972596130848,15.407560515214998,1.0,0.0,1.0,0.8073394495412836,-0.276611829072948,,1.0,-1.0,
RESP/GAFF/MMGBSA,16,14.14047382515876,11.321863266977331,16.795973383348638,14.07,11.321863266977331,16.791320748875375,14.07,11.321863266977331,16.791320748875375,1.0,0.0,1.0,-0.29357798165137644,-1.379404371874938,,-1.0,-1.0,
