ID,sid,RMSE,RMSE_lower_bound,RMSE_upper_bound,MAE,MAE_lower_bound,MAE_upper_bound,ME,ME_lower_bound,ME_upper_bound,R2,R2_lower_bound,R2_upper_bound,m,m_lower_bound,m_upper_bound,kendall_tau,kendall_tau_lower_bound,kendall_tau_upper_bound
AMOEBA/DDM/BAR,6,2.7627409397191047,1.849955577561852,3.9700203612876535,2.1237500000000002,1.3629448189248674,3.333121860651881,-1.685,-2.980784773159809,-0.4295205984361331,0.5046967638233594,0.12544020544510387,0.7736193148808138,1.2495810375298886,0.5286011358995011,2.0434481388581833,0.4666666666666666,0.1150442477876106,0.7358490566037735
FSDAM/GAFF2/OPC3,4,2.968465512684963,2.047981396717416,5.156900505141101,2.23875,1.5796931021298977,4.234152076707803,0.4287500000000001,-1.587686674926937,2.3933600658001706,0.11776900639024335,0.0002488065325486817,0.5689527990897464,0.6016425823890216,-0.5353331309579069,1.600942836881032,0.235302425908485,-0.2212389380530973,0.625
MD/DOCKING/GAFF/xtb-GNF/,5,5.6524253643900515,3.8976021241379457,7.3542349458889635,4.512499999999999,3.0017149388581466,6.402514602615334,-4.2275,-6.201007480305709,-2.2900893055999823,0.0029442776861607635,5.634501510483136e-05,0.2522088160592744,-0.1012371348373012,-1.0027234279402584,0.7904997817598892,-0.050421948408961074,-0.4053217416888888,0.33944954128440363
