ID,Sensitivity,Sensitivity_lower_bound,Sensitivity_upper_bound,Specificity,Specificity_lower_bound,Specificity_upper_bound,Precision,Precision_lower_bound,Precision_upper_bound,Balanced Accuracy,Balanced Accuracy_lower_bound,Balanced Accuracy_upper_bound,Accuracy,Accuracy_lower_bound,Accuracy_upper_bound,True Positive,True Positive_lower_bound,True Positive_upper_bound,False Negative,False Negative_lower_bound,False Negative_upper_bound,True Negative,True Negative_lower_bound,True Negative_upper_bound,False Positive,False Positive_lower_bound,False Positive_upper_bound
33,0.28846153846153844,0.16666666666666666,0.4166666666666667,0.6479250334672021,0.6139154160982264,0.6823687752355316,0.0539568345323741,0.02877697841726619,0.08208955223880597,0.46819328596437026,0.4050708699902248,0.5353816681402889,0.6245306633291614,0.590738423028786,0.6583229036295369,15,8.0,23.0,37,26.0,49.0,484,457.0,511.0,263,237.0,289.0
56,0.1346153846153846,0.046511627906976744,0.23636363636363636,0.9009370816599732,0.8790322580645161,0.9220430107526881,0.08641975308641975,0.028169014084507043,0.15151515151515152,0.517776233137679,0.4723766862321079,0.5696545562835021,0.851063829787234,0.8260325406758448,0.8760951188986232,7,2.0,13.0,45,33.0,58.0,673,652.0,693.0,74,58.0,90.0
35,0.11538461538461539,0.03773584905660377,0.2127659574468085,0.9103078982597055,0.8890392422192152,0.9303882195448461,0.0821917808219178,0.02666666666666667,0.1527777777777778,0.5128462568221605,0.47198700482079226,0.5622545364156102,0.8585732165206508,0.8335419274092616,0.8823529411764706,6,2.0,11.0,46,34.0,59.0,680,660.0,699.0,67,52.0,83.0
55,0.09615384615384616,0.02040816326530612,0.1836734693877551,0.8795180722891566,0.8556005398110661,0.9021447721179625,0.05263157894736842,0.01098901098901099,0.10126582278481013,0.48783595922150136,0.4488225280181586,0.5323575949367089,0.8285356695869838,0.8022528160200251,0.8548185231539425,5,1.0,10.0,47,34.0,61.0,657,635.0,678.0,90,73.0,108.0
52,0.07692307692307693,0.017241379310344827,0.1568627450980392,0.9518072289156626,0.9358288770053476,0.9666666666666667,0.1,0.022222222222222223,0.20454545454545456,0.5143651529193698,0.4811223923657346,0.5551677602494299,0.8948685857321652,0.8735919899874843,0.9161451814768461,4,1.0,8.0,48,35.0,62.0,711,694.0,728.0,36,25.0,48.0
38,0.019230769230769232,0.0,0.06521739130434782,0.8714859437751004,0.8472775564409031,0.8953020134228188,0.010309278350515464,0.0,0.03488372093023256,0.4453583565029348,0.4262734584450402,0.4709867347662623,0.8160200250312891,0.7884856070087609,0.8435544430538173,1,0.0,3.0,51,38.0,65.0,651,629.0,673.0,96,78.0,114.0
44,0.019230769230769232,0.0,0.06521739130434782,0.9625167336010709,0.9478609625668449,0.9756427604871448,0.034482758620689655,0.0,0.11538461538461539,0.4908737514159201,0.47587131367292224,0.5146804087995843,0.9011264080100125,0.8798498122653317,0.9211514392991239,1,0.0,3.0,51,38.0,65.0,719,702.0,735.0,28,18.0,39.0
37,0.0,0.0,0.0,0.9852744310575636,0.9760319573901465,0.9932975871313673,0.0,0.0,0.0,0.4926372155287818,0.48801597869507324,0.49664879356568364,0.9211514392991239,0.9023779724655819,0.9399249061326659,0,0.0,0.0,52,39.0,66.0,736,721.0,751.0,11,5.0,18.0
43,0.0,0.0,0.0,0.9451137884872824,0.928,0.9611260053619303,0.0,0.0,0.0,0.4725568942436412,0.464,0.48056300268096513,0.8836045056320401,0.8598247809762203,0.904881101376721,0,0.0,0.0,52,39.0,66.0,706,687.0,723.0,41,29.0,54.0
